Temps (s) - Tc : consigne T (mm)	R (mm) - Tc : consigne T (mm)	Temps (s) - T : position T (mm)	R (mm) - T : position T (mm)	Temps (s) - e1T : écart 1 T (mm)	R (mm) - e1T : écart 1 T (mm)	Temps (s) - e2T : écart 2 T (mm)	R (mm) - e2T : écart 2 T (mm)	Temps (s) - e3T : écart 3 T (V)	R (mm) - e3T : écart 3 T (V)	Temps (s) - uT : tension moteur T (V)	R (mm) - uT : tension moteur T (V)	Temps (s) - iT : intensité moteur T (A)	R (mm) - iT : intensité moteur T (A)	Temps (s) - Rc : consigne R (°)	R (mm) - Rc : consigne R (°)	Temps (s) - R : position R (°)	R (mm) - R : position R (°)	Temps (s) - e1R : écart 1 R (°)	R (mm) - e1R : écart 1 R (°)	Temps (s) - e2R : écart 2 R (°)	R (mm) - e2R : écart 2 R (°)	Temps (s) - e3R : écart 3 R (V)	R (mm) - e3R : écart 3 R (V)	Temps (s) - uR : tension moteur R (V)	R (mm) - uR : tension moteur R (V)	Temps (s) - iR : intensité moteur R (A)	R (mm) - iR : intensité moteur R (A)	Temps (s) - ar : accel radiale (g)       	R (mm) - ar : accel radiale (g)       	Temps (s) - at : accel tangentielle (g)  	R (mm) - at : accel tangentielle (g)  	Temps (s) - gz : gyro Z (°/s)	R (mm) - gz : gyro Z (°/s)	Temps (s) - formule 1	R (mm) - formule 1	Temps (s) - formule 2	R (mm) - formule 2	Temps (s) - Curseur	R (mm) - Curseur
0	125	0	124.978	0	0.0219535	0	0.0219535	0	0.0991395	0	-0.166442	0	-0.0109863	0	5.57645E-7	0	-0.0317926	0	0.0317932	0	0.0317932	0	0.104178	0	-0.166442	0	-0.00366211	0	0.00109863	0	-0.0164795	0	-1.40381	0	0	0	0	0.023	27.7657
0.003	125.023	0.003	124.978	0.003	0.0452812	0.003	0.0452812	0.003	0.104178	0.003	-0.152186	0.003	-0.0128174	0.003	0.00155639	0.003	-0.0317926	0.003	0.033349	0.003	0.033349	0.003	0.104178	0.003	-0.166442	0.003	0.00183105	0.003	0.00195312	0.003	-0.0194092	0.003	-1.41144	0.003	0	0.003	0	0.023	38
0.006	125.092	0.006	124.978	0.006	0.11376	0.006	0.11376	0.006	0.13441	0.006	-0.166442	0.006	-0.00732422	0.006	0.0061235	0.006	-0.0317926	0.006	0.0379161	0.006	0.0379161	0.006	0.109217	0.006	-0.166442	0.006	-0.00183105	0.006	0.00134277	0.006	-0.0123291	0.006	-1.52588	0.006	0	0.006	0		
0.009	125.205	0.009	124.978	0.009	0.227388	0.009	0.227388	0.009	0.199913	0.009	-0.152186	0.009	-0.00732422	0.009	0.0137019	0.009	-0.0317926	0.009	0.0454945	0.009	0.0454945	0.009	0.114256	0.009	-0.152186	0.009	0	0.009	0.0032959	0.009	-0.0153809	0.009	-1.35803	0.009	0	0.009	0		
0.012	125.364	0.012	124.978	0.012	0.386168	0.012	0.386168	0.012	0.320842	0.012	-0.152186	0.012	-0.0109863	0.012	0.0242916	0.012	-0.0317926	0.012	0.0560842	0.012	0.0560842	0.012	0.119294	0.012	-0.166442	0.012	-0.00183105	0.012	-0.00158691	0.012	-0.0142822	0.012	-1.50299	0.012	0	0.012	0		
0.015	125.568	0.015	124.978	0.015	0.590097	0.015	0.590097	0.015	0.472003	0.015	-0.0951642	0.015	0.0164795	0.015	0.0378925	0.015	-0.0317926	0.015	0.0696852	0.015	0.0696852	0.015	0.129372	0.015	-0.152186	0.015	0.00549316	0.015	0.00109863	0.015	-0.0161133	0.015	-1.4267	0.015	0	0.015	0		
0.018	125.817	0.018	124.979	0.018	0.837764	0.018	0.837764	0.018	0.673551	0.018	0.475055	0.018	0.161133	0.018	0.0545048	0.018	-0.0317926	0.018	0.0862974	0.018	0.0862974	0.018	0.159604	0.018	-0.152186	0.018	0.00366211	0.018	0.000854492	0.018	-0.015625	0.018	-1.44958	0.018	0	0.018	0		
0.021	126.111	0.021	124.985	0.021	1.12634	0.021	1.12634	0.021	0.920447	0.021	0.859953	0.021	0.267334	0.021	0.0741283	0.021	-0.0317926	0.021	0.105921	0.021	0.105921	0.021	0.164643	0.021	-0.166442	0.021	0.00183105	0.021	0.00427246	0.021	-0.0136719	0.021	-1.40381	0.021	0	0.021	0		
0.024	126.451	0.024	124.992	0.024	1.45866	0.024	1.45866	0.024	1.21269	0.024	1.27336	0.024	0.380859	0.024	0.0967632	0.024	-0.0317926	0.024	0.128556	0.024	0.128556	0.024	0.179759	0.024	-0.166442	0.024	0	0.024	0.0119629	0.024	-0.0133057	0.024	-1.3504	0.024	0	0.024	0		
0.027	126.835	0.027	125.006	0.027	1.82977	0.027	1.82977	0.027	1.55028	0.027	1.82933	0.027	0.481567	0.027	0.122409	0.027	-0.0317926	0.027	0.154202	0.027	0.154202	0.027	0.199913	0.027	-0.166442	0.027	0.00183105	0.027	0.0943604	0.027	-0.00830078	0.027	-1.04523	0.027	0	0.027	0		
