Temps (s) - Tc : consigne T (mm)	R (mm) - Tc : consigne T (mm)	Temps (s) - T : position T (mm)	R (mm) - T : position T (mm)	Temps (s) - e1T : écart 1 T (mm)	R (mm) - e1T : écart 1 T (mm)	Temps (s) - e2T : écart 2 T (mm)	R (mm) - e2T : écart 2 T (mm)	Temps (s) - e3T : écart 3 T (V)	R (mm) - e3T : écart 3 T (V)	Temps (s) - uT : tension moteur T (V)	R (mm) - uT : tension moteur T (V)	Temps (s) - iT : intensité moteur T (A)	R (mm) - iT : intensité moteur T (A)	Temps (s) - Rc : consigne R (°)	R (mm) - Rc : consigne R (°)	Temps (s) - R : position R (°)	R (mm) - R : position R (°)	Temps (s) - e1R : écart 1 R (°)	R (mm) - e1R : écart 1 R (°)	Temps (s) - e2R : écart 2 R (°)	R (mm) - e2R : écart 2 R (°)	Temps (s) - e3R : écart 3 R (V)	R (mm) - e3R : écart 3 R (V)	Temps (s) - uR : tension moteur R (V)	R (mm) - uR : tension moteur R (V)	Temps (s) - iR : intensité moteur R (A)	R (mm) - iR : intensité moteur R (A)	Temps (s) - ar : accel radiale (g)       	R (mm) - ar : accel radiale (g)       	Temps (s) - at : accel tangentielle (g)  	R (mm) - at : accel tangentielle (g)  	Temps (s) - gz : gyro Z (°/s)	R (mm) - gz : gyro Z (°/s)	Temps (s) - formule 1	R (mm) - formule 1	Temps (s) - formule 2	R (mm) - formule 2	Temps (s) - Curseur	R (mm) - Curseur
0	125	0	124.976	0	0.0240732	0	0.0240732	0	0.0890621	0.018	0.475055	0.015	0.0311279	0	1.66852E-6	0	0	0	1.66852E-6	0	1.66852E-6	0	0.073946	0.033	0.147179	0	0.00549316	0.009	0.000854492	0.027	0.000732422	0.081	0.244141	0	0	0	0	0.023	27.7657
0.003	125.023	0.003	124.976	0.003	0.0474009	0.003	0.0474009	0.003	0.109217	0.021	0.845697	0.018	0.146484	0.003	0.00465684	0.003	0	0.003	0.00465684	0.003	0.00465684	0.003	0.0789847	0.036	0.346756	0.003	0.00915527	0.012	0.00488281	0.039	0.0098877	0.084	2.13623	0.003	0	0.003	0	0.023	38
0.006	125.092	0.006	124.976	0.006	0.115879	0.006	0.115879	0.006	0.13441	0.024	1.31613	0.021	0.227051	0.006	0.018322	0.006	0	0.006	0.018322	0.006	0.018322	0.006	0.0941008	0.039	0.517821	0.006	0.00183105	0.015	0.00305176	0.063	0.0281982	0.087	4.80652	0.006	0	0.006	0		
0.009	125.205	0.009	124.976	0.009	0.229508	0.009	0.229508	0.009	0.320842	0.027	1.82933	0.024	0.355225	0.009	0.0409972	0.009	0	0.009	0.0409972	0.009	0.0409972	0.009	0.109217	0.042	0.674632	0.009	0.00183105	0.018	0.00842285	0.069	0.034668	0.09	7.91168	0.009	0	0.009	0		
0.012	125.364	0.012	124.976	0.012	0.388287	0.012	0.388287	0.012	0.315803	0.03	2.35678	0.027	0.498047	0.012	0.0726824	0.012	0	0.012	0.0726824	0.012	0.0726824	0.012	0.109217	0.045	0.845697	0.012	0.00549316	0.021	0.00341797	0.078	0.0429687	0.093	11.795	0.012	0	0.012	0		
0.015	125.568	0.015	124.976	0.015	0.592217	0.015	0.592217	0.015	0.477042	0.033	3.02679	0.03	0.611572	0.015	0.113378	0.015	0	0.015	0.113378	0.015	0.113378	0.015	0.149526	0.048	1.01676	0.015	0.00549316	0.024	0.00292969	0.081	0.122192	0.096	16.1438	0.015	0	0.015	0		
0.018	125.817	0.018	124.977	0.018	0.839884	0.018	0.839884	0.018	0.678589	0.036	3.69679	0.033	0.699463	0.018	0.163083	0.018	0	0.018	0.163083	0.018	0.163083	0.018	0.184797	0.051	1.2306	0.018	0.00549316	0.027	0.0554199	0.084	0.200562	0.099	20.8588	0.018	0	0.018	0		
0.021	126.111	0.021	124.981	0.021	1.13058	0.021	1.13058	0.021	0.920447	0.039	4.26701	0.036	0.721436	0.021	0.221798	0.021	0	0.021	0.221798	0.021	0.221798	0.021	0.29061	0.054	1.45868	0.021	0.00549316	0.03	0.177246	0.087	0.244629	0.102	25.7111	0.021	0	0.021	0		
0.024	126.451	0.024	124.987	0.024	1.46431	0.024	1.46431	0.024	1.21773	0.042	4.80872	0.039	0.851441	0.024	0.289523	0.024	0	0.024	0.289523	0.024	0.289523	0.024	0.29061	0.057	1.65826	0.024	0.00549316	0.033	0.185059	0.09	0.27063	0.105	30.3574	0.024	0	0.024	0		
0.027	126.835	0.027	124.998	0.027	1.83754	0.027	1.83754	0.027	1.55028	0.045	5.37894	0.042	0.81665	0.027	0.366259	0.027	0	0.027	0.366259	0.027	0.366259	0.027	0.441771	0.06	1.88635	0.027	0.00366211	0.036	0.289917	0.093	0.285156	0.108	34.668	0.027	0	0.027	0		
0.03	127.265	0.03	125.02	0.03	2.24526	0.03	2.24526	0.03	1.92819	0.048	5.8066	0.045	0.858765	0.03	0.452004	0.03	0	0.03	0.452004	0.03	0.452004	0.03	0.431693	0.063	2.08592	0.03	0.00366211	0.039	0.321899	0.096	0.32019	0.111	38.5284	0.03	0	0.03	0		
0.033	127.715	0.033	125.062	0.033	2.65286	0.033	2.65286	0.033	2.33128	0.051	6.29129	0.048	0.79834	0.033	0.546759	0.033	0.000683712	0.033	0.546075	0.033	0.546075	0.033	0.527429	0.066	2.32827	0.033	0.0787354	0.042	0.368774	0.099	0.415405	0.114	42.1448	0.033	0	0.033	0		
0.036	128.165	0.036	125.129	0.036	3.03574	0.036	3.03574	0.036	2.73438	0.054	6.63342	0.051	0.76355	0.036	0.650524	0.036	0.00376042	0.036	0.646764	0.036	0.646764	0.036	0.618125	0.069	2.52784	0.036	0.098877	0.045	0.359985	0.102	0.435303	0.117	45.1813	0.036	0	0.036	0		
0.039	128.615	0.039	125.22	0.039	3.39459	0.039	3.39459	0.039	3.12236	0.057	7.04683	0.054	0.71228	0.039	0.7633	0.039	0.00991383	0.039	0.753386	0.039	0.753386	0.039	0.718899	0.072	2.81295	0.039	0.117188	0.048	0.297241	0.105	0.316284	0.12	48.0347	0.039	0	0.039	0		
0.042	129.065	0.042	125.34	0.042	3.72519	0.042	3.72519	0.042	3.4801	0.06	7.37471	0.057	0.723267	0.042	0.885085	0.042	0.0194858	0.042	0.865599	0.042	0.865599	0.042	0.824712	0.075	3.06955	0.042	0.128174	0.051	0.305664	0.108	0.281372	0.123	50.6363	0.042	0	0.042	0		
0.045	129.515	0.045	125.486	0.045	4.02893	0.045	4.02893	0.045	3.80762	0.063	7.56003	0.06	0.69397	0.045	1.01588	0.045	0.0324763	0.045	0.983404	0.045	0.983404	0.045	0.940602	0.078	3.32615	0.045	0.142822	0.054	0.283325	0.111	0.269775	0.126	52.9022	0.045	0	0.045	0		
0.048	129.965	0.048	125.666	0.048	4.29875	0.048	4.29875	0.048	4.12002	0.066	7.85939	0.063	0.690308	0.048	1.15569	0.048	0.0495691	0.048	1.10612	0.048	1.10612	0.048	1.05145	0.081	3.55424	0.048	0.150146	0.057	0.295044	0.114	0.27771	0.129	55.5649	0.048	0	0.048	0		
0.051	130.415	0.051	125.874	0.051	4.54103	0.051	4.54103	0.051	4.38707	0.069	8.05897	0.066	0.617065	0.051	1.3045	0.051	0.0707642	0.051	1.23374	0.051	1.23374	0.051	1.18246	0.084	3.78233	0.051	0.162964	0.06	0.185791	0.117	0.257935	0.132	57.8384	0.051	0	0.051	0		
0.054	130.865	0.054	126.107	0.054	4.75786	0.054	4.75786	0.054	4.62893	0.072	8.31557	0.069	0.540161	0.054	1.46233	0.054	0.0964034	0.054	1.36592	0.054	1.36592	0.054	1.30843	0.087	4.06744	0.054	0.135498	0.063	0.253662	0.12	0.154541	0.135	59.9823	0.054	0	0.054	0		
0.057	131.315	0.057	126.364	0.057	4.95067	0.057	4.95067	0.057	4.84559	0.075	8.41536	0.072	0.540161	0.057	1.62916	0.057	0.126829	0.057	1.50233	0.057	1.50233	0.057	1.43943	0.09	4.3668	0.057	0.170288	0.066	0.296265	0.123	0.134155	0.138	61.8896	0.057	0	0.057	0		
0.06	131.765	0.06	126.644	0.06	5.12087	0.06	5.12087	0.06	5.0421	0.078	8.57217	0.075	0.549316	0.06	1.80501	0.06	0.161356	0.06	1.64365	0.06	1.64365	0.06	1.66114	0.093	4.69468	0.06	0.161133	0.069	0.124634	0.126	0.248047	0.141	63.7512	0.06	0	0.06	0		
0.063	132.215	0.063	126.942	0.063	5.27271	0.063	5.27271	0.063	5.21342	0.081	8.70047	0.078	0.466919	0.063	1.98986	0.063	0.201011	0.063	1.78885	0.063	1.78885	0.063	1.71152	0.096	5.0083	0.063	0.177612	0.072	0.192993	0.129	0.189087	0.144	65.4755	0.063	0	0.063	0		
0.066	132.665	0.066	127.264	0.066	5.40122	0.066	5.40122	0.066	5.36458	0.084	8.71472	0.081	0.424805	0.066	2.18373	0.066	0.24682	0.066	1.93691	0.066	1.93691	0.066	2.01384	0.099	5.25064	0.066	0.195923	0.075	0.190186	0.132	0.197021	0.147	67.6041	0.066	0	0.066	0		
0.069	133.115	0.069	127.601	0.069	5.51419	0.069	5.51419	0.069	5.58628	0.087	8.80025	0.084	0.455933	0.069	2.3866	0.069	0.299124	0.069	2.08748	0.069	2.08748	0.069	2.17004	0.102	5.62128	0.069	0.205078	0.078	0.0861816	0.135	0.117187	0.15	68.9011	0.069	0	0.069	0		
0.072	133.565	0.072	127.958	0.072	5.60738	0.072	5.60738	0.072	5.59636	0.09	8.9143	0.087	0.483398	0.072	2.59849	0.072	0.356214	0.072	2.24227	0.072	2.24227	0.072	2.30105	0.105	5.97767	0.072	0.221558	0.081	0.147705	0.138	0.0620117	0.153	69.8318	0.072	0	0.072	0		
0.075	134.015	0.075	128.317	0.075	5.69774	0.075	5.69774	0.075	5.69209	0.093	9.09962	0.09	0.390015	0.075	2.81938	0.075	0.416723	0.075	2.40266	0.075	2.40266	0.075	2.3212	0.108	6.24852	0.075	0.249023	0.084	0.0389404	0.141	0.199463	0.156	70.7397	0.075	0	0.075	0		
0.078	134.465	0.078	128.697	0.078	5.76832	0.078	5.76832	0.078	5.78783	0.096	9.08536	0.093	0.397339	0.078	3.04929	0.078	0.480308	0.078	2.56898	0.078	2.56898	0.078	2.4774	0.111	6.54789	0.078	0.26001	0.087	0.118164	0.144	0.294434	0.159	71.3577	0.078	0	0.078	0		
0.081	134.915	0.081	129.087	0.081	5.82829	0.081	5.82829	0.081	5.85333	0.099	9.09962	0.096	0.415649	0.081	3.28821	0.081	0.546628	0.081	2.74158	0.081	2.74158	0.081	2.64872	0.114	6.94704	0.081	0.358887	0.09	0.0874023	0.147	0.132812	0.162	71.9147	0.081	0	0.081	0		
0.084	135.365	0.084	129.488	0.084	5.87697	0.084	5.87697	0.084	5.91883	0.102	9.22792	0.099	0.391846	0.084	3.53613	0.084	0.615341	0.084	2.92079	0.084	2.92079	0.084	2.80996	0.117	7.18939	0.084	0.477905	0.093	0.0584717	0.15	0.059082	0.165	72.4716	0.084	0	0.084	0		
0.087	135.815	0.087	129.891	0.087	5.92352	0.087	5.92352	0.087	5.96418	0.105	9.21366	0.102	0.379028	0.087	3.79307	0.087	0.68508	0.087	3.10799	0.087	3.10799	0.087	2.99639	0.12	7.38896	0.087	0.527344	0.096	0.150635	0.153	0.0847168	0.168	72.8149	0.087	0	0.087	0		
0.09	136.265	0.09	130.303	0.09	5.9616	0.09	5.9616	0.09	6.01457	0.108	9.38473	0.105	0.390015	0.09	4.05901	0.09	0.755844	0.09	3.30317	0.09	3.30317	0.09	3.18282	0.123	7.50301	0.09	0.609741	0.099	0.141357	0.156	0.0921631	0.171	72.8455	0.09	0	0.09	0		
0.093	136.715	0.093	130.722	0.093	5.99261	0.093	5.99261	0.093	6.04984	0.111	9.41324	0.108	0.386353	0.093	4.33397	0.093	0.827292	0.093	3.50668	0.093	3.50668	0.093	3.37933	0.126	7.74535	0.093	0.750732	0.102	0.0720215	0.159	0.0947266	0.174	73.082	0.093	0	0.093	0		
0.096	137.165	0.096	131.155	0.096	6.01019	0.096	6.01019	0.096	6.08511	0.114	9.54154	0.111	0.368042	0.096	4.61793	0.096	0.9025	0.096	3.71543	0.096	3.71543	0.096	3.58592	0.129	7.83088	0.096	0.827637	0.105	0.0361328	0.162	0.126587	0.177	73.3261	0.096	0	0.096	0		
