FICHIER :;c:\Users\gaspard.druenne\Desktop\XP\V_1000_3kg.eposacq
Date :;02/02/2024
Heure :;10:31:46

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 1000 rpm.
170 mesures avec période de 5.0 ms


COMMENTAIRE :
omega 1000
 I 4106

MESURES :
Index;Temps;;Courant Moteur;Vitesse Moteur;
;ms;;mA;rpm;
         0;       0,0;;      3170;         0;
         1;       5,0;;      3170;         0;
         2;      10,0;;      3170;         0;
         3;      15,0;;      3170;         0;
         4;      20,0;;      3170;         0;
         5;      25,0;;      3170;         0;
         6;      30,0;;      3170;         0;
         7;      35,0;;      3170;         0;
         8;      40,0;;      3170;         0;
         9;      45,0;;      3170;         0;
        10;      50,0;;      3170;         0;
        11;      55,0;;      3170;         0;
        12;      60,0;;      3170;         0;
        13;      65,0;;      3170;         0;
        14;      70,0;;      3170;         0;
        15;      75,0;;      3170;         0;
        16;      80,0;;      3170;         0;
        17;      85,0;;      3292;         0;
        18;      90,0;;      4456;         2;
        19;      95,0;;      6432;        21;
        20;     100,0;;      7263;        70;
        21;     105,0;;      7402;       144;
        22;     110,0;;      7188;       236;
        23;     115,0;;      6463;       335;
        24;     120,0;;      5713;       433;
        25;     125,0;;      5143;       522;
        26;     130,0;;      4713;       602;
        27;     135,0;;      4462;       669;
        28;     140,0;;      4392;       722;
        29;     145,0;;      4461;       762;
        30;     150,0;;      4569;       795;
        31;     155,0;;      4623;       824;
        32;     160,0;;      4591;       853;
        33;     165,0;;      4448;       885;
        34;     170,0;;      4259;       913;
        35;     175,0;;      4083;       941;
        36;     180,0;;      3914;       966;
        37;     185,0;;      3780;       990;
        38;     190,0;;      3624;      1012;
        39;     195,0;;      3459;      1033;
        40;     200,0;;      3352;      1049;
        41;     205,0;;      3260;      1062;
        42;     210,0;;      3259;      1069;
        43;     215,0;;      3312;      1071;
        44;     220,0;;      3383;      1070;
        45;     225,0;;      3471;      1066;
        46;     230,0;;      3576;      1060;
        47;     235,0;;      3716;      1051;
