FICHIER :;c:\Users\gaspard.druenne\Desktop\XP\V_3000_3kg.eposacq
Date :;02/02/2024
Heure :;10:33:20

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
170 mesures avec période de 5.0 ms


COMMENTAIRE :
omega 3000
 I 3940mA

MESURES :
Index;Temps;;Courant Moteur;Vitesse Moteur;
;ms;;mA;rpm;
         0;       0,0;;      3248;         0;
         1;       5,0;;      3247;         0;
         2;      10,0;;      3247;         0;
         3;      15,0;;      3247;         0;
         4;      20,0;;      3247;         0;
         5;      25,0;;      3247;         0;
         6;      30,0;;      3247;         0;
         7;      35,0;;      3247;         0;
         8;      40,0;;      3247;         0;
         9;      45,0;;      3247;         0;
        10;      50,0;;      3247;         0;
        11;      55,0;;      3247;         0;
        12;      60,0;;      3247;         0;
        13;      65,0;;      3247;         0;
        14;      70,0;;      3247;         0;
        15;      75,0;;      3246;         0;
        16;      80,0;;      3247;         0;
        17;      85,0;;      3391;         0;
        18;      90,0;;      4618;         3;
        19;      95,0;;      6574;        21;
        20;     100,0;;      7273;        68;
        21;     105,0;;      7431;       140;
        22;     110,0;;      7456;       231;
        23;     115,0;;      7482;       336;
        24;     120,0;;      7461;       453;
        25;     125,0;;      7453;       579;
        26;     130,0;;      7473;       714;
        27;     135,0;;      7463;       852;
        28;     140,0;;      7472;       993;
        29;     145,0;;      7464;      1133;
        30;     150,0;;      7453;      1275;
        31;     155,0;;      7477;      1415;
        32;     160,0;;      7487;      1559;
        33;     165,0;;      7474;      1705;
        34;     170,0;;      7445;      1855;
        35;     175,0;;      7437;      2005;
        36;     180,0;;      7456;      2158;
        37;     185,0;;      7246;      2317;
        38;     190,0;;      6289;      2478;
        39;     195,0;;      5211;      2628;
        40;     200,0;;      4394;      2757;
        41;     205,0;;      3850;      2866;
        42;     210,0;;      3519;      2955;
        43;     215,0;;      3370;      3023;
        44;     220,0;;      3335;      3076;
        45;     225,0;;      3335;      3117;
        46;     230,0;;      3328;      3146;
        47;     235,0;;      3368;      3168;
        48;     240,0;;      3336;      3187;
        49;     245,0;;      3253;      3200;
        50;     250,0;;      3237;      3208;
        51;     255,0;;      3240;      3212;
        52;     260,0;;      3279;      3209;
        53;     265,0;;      3388;      3199;
        54;     270,0;;      3548;      3185;
        55;     275,0;;      3709;      3169;
        56;     280,0;;      3874;      3152;
        57;     285,0;;      4028;      3132;
        58;     290,0;;      4226;      3110;
        59;     295,0;;      4394;      3090;
        60;     300,0;;      4496;      3073;
        61;     305,0;;      4532;      3058;
        62;     310,0;;      4584;      3046;
        63;     315,0;;      4587;      3037;
        64;     320,0;;      4536;      3032;
        65;     325,0;;      4453;      3029;
        66;     330,0;;      4403;      3028;
        67;     335,0;;      4303;      3030;
        68;     340,0;;      4203;      3034;
        69;     345,0;;      4080;      3039;
