FICHIER :;c:\Users\gaspard.druenne\Desktop\XP\V_4000_3kg.eposacq
Date :;02/02/2024
Heure :;10:33:57

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 4000 rpm.
170 mesures avec période de 5.0 ms


COMMENTAIRE :
4000 tr/min
 4000 mA
 

MESURES :
Index;Temps;;Courant Moteur;Vitesse Moteur;
;ms;;mA;rpm;
         0;       0,0;;      3183;         0;
         1;       5,0;;      3183;         0;
         2;      10,0;;      3183;         0;
         3;      15,0;;      3183;         0;
         4;      20,0;;      3183;         0;
         5;      25,0;;      3183;         0;
         6;      30,0;;      3183;         0;
         7;      35,0;;      3183;         0;
         8;      40,0;;      3183;         0;
         9;      45,0;;      3183;         0;
        10;      50,0;;      3183;         0;
        11;      55,0;;      3183;         0;
        12;      60,0;;      3183;         0;
        13;      65,0;;      3183;         0;
        14;      70,0;;      3183;         0;
        15;      75,0;;      3183;         0;
        16;      80,0;;      3183;         0;
        17;      85,0;;      3316;         0;
        18;      90,0;;      4519;         2;
        19;      95,0;;      6508;        20;
        20;     100,0;;      7263;        67;
        21;     105,0;;      7411;       140;
        22;     110,0;;      7433;       232;
        23;     115,0;;      7448;       338;
        24;     120,0;;      7487;       458;
        25;     125,0;;      7449;       586;
        26;     130,0;;      7455;       725;
        27;     135,0;;      7474;       866;
        28;     140,0;;      7474;      1009;
        29;     145,0;;      7475;      1150;
        30;     150,0;;      7468;      1291;
        31;     155,0;;      7462;      1432;
        32;     160,0;;      7462;      1576;
        33;     165,0;;      7463;      1724;
        34;     170,0;;      7464;      1874;
        35;     175,0;;      7465;      2025;
        36;     180,0;;      7454;      2180;
        37;     185,0;;      7454;      2343;
        38;     190,0;;      7488;      2514;
        39;     195,0;;      7474;      2690;
        40;     200,0;;      7439;      2873;
        41;     205,0;;      7468;      3061;
        42;     210,0;;      6887;      3250;
        43;     215,0;;      5774;      3430;
        44;     220,0;;      4753;      3591;
        45;     225,0;;      4066;      3724;
        46;     230,0;;      3712;      3832;
        47;     235,0;;      3640;      3912;
        48;     240,0;;      3747;      3971;
        49;     245,0;;      3849;      4017;
        50;     250,0;;      3952;      4051;
        51;     255,0;;      3998;      4079;
        52;     260,0;;      4000;      4102;
        53;     265,0;;      3913;      4121;
        54;     270,0;;      3835;      4139;
        55;     275,0;;      3686;      4154;
        56;     280,0;;      3642;      4162;
        57;     285,0;;      3598;      4168;
        58;     290,0;;      3587;      4170;
        59;     295,0;;      3622;      4167;
        60;     300,0;;      3657;      4162;
        61;     305,0;;      3734;      4153;
        62;     310,0;;      3852;      4142;
        63;     315,0;;      3935;      4131;
        64;     320,0;;      4006;      4118;
        65;     325,0;;      4121;      4105;
        66;     330,0;;      4135;      4095;
        67;     335,0;;      4169;      4085;
        68;     340,0;;      4215;      4075;
        69;     345,0;;      4205;      4068;
        70;     350,0;;      4216;      4060;
        71;     355,0;;      4265;      4051;
        72;     360,0;;      4290;      4045;
        73;     365,0;;      4310;      4038;
        74;     370,0;;      4364;      4032;
        75;     375,0;;      4357;      4027;
        76;     380,0;;      4343;      4024;
        77;     385,0;;      4371;      4020;
        78;     390,0;;      4341;      4018;
        79;     395,0;;      4302;      4017;
        80;     400,0;;      4269;      4018;
        81;     405,0;;      4211;      4021;
        82;     410,0;;      4150;      4022;
        83;     415,0;;      4122;      4025;
        84;     420,0;;      4053;      4028;
        85;     425,0;;      4002;      4030;
        86;     430,0;;      4018;      4029;
        87;     435,0;;      4027;      4030;
        88;     440,0;;      4025;      4026;
        89;     445,0;;      4096;      4023;
        90;     450,0;;      4126;      4022;
        91;     455,0;;      4135;      4019;
