FICHIER :;c:\Users\gaspard.druenne\Desktop\XP\V_500_3kg.eposacq
Date :;02/02/2024
Heure :;10:31:15

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 500 rpm.
170 mesures avec période de 5.0 ms


COMMENTAIRE :
500 rpm
 3774 mA
 

MESURES :
Index;Temps;;Courant Moteur;Vitesse Moteur;
;ms;;mA;rpm;
         0;       0,0;;      3303;         0;
         1;       5,0;;      3303;         0;
         2;      10,0;;      3303;         0;
         3;      15,0;;      3303;         0;
         4;      20,0;;      3303;         0;
         5;      25,0;;      3303;         0;
         6;      30,0;;      3303;         0;
         7;      35,0;;      3304;         0;
         8;      40,0;;      3303;         0;
         9;      45,0;;      3303;         0;
        10;      50,0;;      3303;         0;
        11;      55,0;;      3303;         0;
        12;      60,0;;      3303;         0;
        13;      65,0;;      3303;         0;
        14;      70,0;;      3303;         0;
        15;      75,0;;      3303;         0;
        16;      80,0;;      3303;         0;
        17;      85,0;;      3359;         0;
        18;      90,0;;      4284;         1;
        19;      95,0;;      5338;        12;
        20;     100,0;;      5799;        36;
        21;     105,0;;      5717;        75;
        22;     110,0;;      5421;       120;
        23;     115,0;;      5050;       166;
        24;     120,0;;      4776;       210;
        25;     125,0;;      4556;       248;
        26;     130,0;;      4402;       285;
        27;     135,0;;      4296;       317;
        28;     140,0;;      4257;       343;
        29;     145,0;;      4262;       362;
        30;     150,0;;      4324;       378;
        31;     155,0;;      4371;       392;
        32;     160,0;;      4355;       407;
        33;     165,0;;      4257;       424;
        34;     170,0;;      4106;       442;
        35;     175,0;;      3977;       459;
        36;     180,0;;      3888;       474;
        37;     185,0;;      3828;       485;
        38;     190,0;;      3784;       496;
        39;     195,0;;      3727;       506;
        40;     200,0;;      3684;       514;
        41;     205,0;;      3647;       520;
        42;     210,0;;      3616;       526;
        43;     215,0;;      3616;       529;
        44;     220,0;;      3609;       532;
        45;     225,0;;      3631;       532;
        46;     230,0;;      3672;       530;
        47;     235,0;;      3760;       526;
        48;     240,0;;      3842;       520;
        49;     245,0;;      3910;       514;
        50;     250,0;;      3985;       509;
        51;     255,0;;      4028;       504;
        52;     260,0;;      4038;       500;
        53;     265,0;;      4058;       497;
        54;     270,0;;      4104;       493;
        55;     275,0;;      4122;       491;
        56;     280,0;;      4124;       488;
        57;     285,0;;      4100;       489;
        58;     290,0;;      4094;       489;
        59;     295,0;;      4051;       490;
        60;     300,0;;      4027;       491;
        61;     305,0;;      3995;       494;
        62;     310,0;;      3977;       496;
        63;     315,0;;      3910;       501;
        64;     320,0;;      3850;       505;
        65;     325,0;;      3800;       509;
        66;     330,0;;      3753;       513;
        67;     335,0;;      3752;       514;
        68;     340,0;;      3751;       515;
        69;     345,0;;      3781;       515;
        70;     350,0;;      3769;       515;
        71;     355,0;;      3781;       516;
        72;     360,0;;      3791;       515;
        73;     365,0;;      3783;       514;
        74;     370,0;;      3811;       513;
        75;     375,0;;      3831;       511;
        76;     380,0;;      3847;       508;
        77;     385,0;;      3888;       506;
        78;     390,0;;      3906;       503;
        79;     395,0;;      3955;       500;
        80;     400,0;;      3974;       498;
        81;     405,0;;      4001;       495;
        82;     410,0;;      3983;       495;
        83;     415,0;;      3960;       495;
        84;     420,0;;      3952;       495;
        85;     425,0;;      3923;       496;
        86;     430,0;;      3907;       498;
        87;     435,0;;      3877;       500;
        88;     440,0;;      3857;       502;
        89;     445,0;;      3833;       503;
        90;     450,0;;      3800;       505;
        91;     455,0;;      3800;       507;
        92;     460,0;;      3784;       507;
        93;     465,0;;      3777;       509;
        94;     470,0;;      3735;       511;
        95;     475,0;;      3728;       513;
        96;     480,0;;      3688;       515;
        97;     485,0;;      3655;       517;
        98;     490,0;;      3648;       518;
        99;     495,0;;      3643;       518;
       100;     500,0;;      3684;       516;
       101;     505,0;;      3719;       514;
       102;     510,0;;      3730;       514;
       103;     515,0;;      3710;       513;
       104;     520,0;;      3699;       514;
       105;     525,0;;      3696;       512;
       106;     530,0;;      3707;       511;
       107;     535,0;;      3723;       509;
       108;     540,0;;      3745;       507;
       109;     545,0;;      3773;       505;
       110;     550,0;;      3789;       504;
       111;     555,0;;      3795;       502;
       112;     560,0;;      3783;       502;
       113;     565,0;;      3774;       502;
       114;     570,0;;      3772;       501;
       115;     575,0;;      3748;       502;
       116;     580,0;;      3750;       502;
       117;     585,0;;      3749;       503;
       118;     590,0;;      3729;       503;
       119;     595,0;;      3726;       504;
       120;     600,0;;      3736;       503;
       121;     605,0;;      3740;       502;
       122;     610,0;;      3742;       503;
       123;     615,0;;      3727;       503;
       124;     620,0;;      3729;       503;
       125;     625,0;;      3725;       503;
       126;     630,0;;      3738;       502;
       127;     635,0;;      3737;       502;
       128;     640,0;;      3737;       502;
       129;     645,0;;      3741;       502;
       130;     650,0;;      3725;       502;
       131;     655,0;;      3739;       501;
       132;     660,0;;      3740;       501;
       133;     665,0;;      3766;       500;
       134;     670,0;;      3762;       500;
       135;     675,0;;      3767;       500;
       136;     680,0;;      3742;       500;
       137;     685,0;;      3735;       501;
       138;     690,0;;      3737;       501;
       139;     695,0;;      3746;       500;
       140;     700,0;;      3754;       500;
       141;     705,0;;      3764;       500;
       142;     710,0;;      3763;       499;
       143;     715,0;;      3777;       498;
       144;     720,0;;      3785;       497;
       145;     725,0;;      3788;       498;
       146;     730,0;;      3791;       498;
       147;     735,0;;      3779;       497;
       148;     740,0;;      3782;       498;
       149;     745,0;;      3761;       499;
       150;     750,0;;      3764;       499;
       151;     755,0;;      3755;       499;
       152;     760,0;;      3754;       499;
       153;     765,0;;      3794;       498;
       154;     770,0;;      3779;       498;
       155;     775,0;;      3805;       497;
       156;     780,0;;      3813;       497;
       157;     785,0;;      3812;       497;
       158;     790,0;;      3792;       497;
       159;     795,0;;      3793;       497;
       160;     800,0;;      3788;       496;
       161;     805,0;;      3810;       497;
       162;     810,0;;      3808;       496;
       163;     815,0;;      3822;       496;
       164;     820,0;;      3829;       495;
       165;     825,0;;      3845;       495;
       166;     830,0;;      3840;       494;
       167;     835,0;;      3890;       493;
       168;     840,0;;      3893;       491;
       169;     845,0;;      3891;       492;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;1000;1000;1000;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

