FICHIER :;c:\Users\xavier.pessoles2\Desktop\Profil_Montee.eposacq
Date :;02/02/2024
Heure :;12:51:40

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en PROFIL de POSITION avec échelon de 58706 qc.
170 mesures avec période de 8.0 ms


COMMENTAIRE :
3kg
 200 mm
 3000 tr/min
 20000 rpm/s
 

MESURES :
Index;Temps;;Courant Moteur;Vitesse Moteur;
;ms;;mA;rpm;
         0;       0,0;;      3238;         0;
         1;       8,0;;      3237;         0;
         2;      16,0;;      3237;         0;
         3;      24,0;;      3237;         0;
         4;      32,0;;      3237;         0;
         5;      40,0;;      3237;         0;
         6;      48,0;;      3237;         0;
         7;      56,0;;      3237;         0;
         8;      64,0;;      3237;         0;
         9;      72,0;;      3237;         0;
        10;      80,0;;      3237;         0;
        11;      88,0;;      3237;         0;
        12;      96,0;;      3237;         0;
        13;     104,0;;      3237;         0;
        14;     112,0;;      3237;         0;
        15;     120,0;;      3238;         0;
        16;     128,0;;      3237;         0;
        17;     136,0;;      3254;         0;
        18;     144,0;;      5428;        12;
        19;     152,0;;      5616;        65;
        20;     160,0;;      5856;       142;
        21;     168,0;;      5728;       242;
        22;     176,0;;      5455;       359;
        23;     184,0;;      5574;       483;
        24;     192,0;;      5914;       614;
        25;     200,0;;      6038;       752;
        26;     208,0;;      6138;       894;
        27;     216,0;;      5887;      1043;
        28;     224,0;;      5659;      1194;
        29;     232,0;;      5544;      1346;
        30;     240,0;;      5583;      1498;
        31;     248,0;;      5613;      1653;
        32;     256,0;;      5405;      1810;
        33;     264,0;;      5236;      1967;
        34;     272,0;;      5221;      2123;
        35;     280,0;;      5086;      2280;
        36;     288,0;;      5120;      2435;
        37;     296,0;;      3878;      2567;
        38;     304,0;;      3832;      2666;
        39;     312,0;;      4006;      2739;
        40;     320,0;;      4060;      2796;
        41;     328,0;;      4260;      2838;
        42;     336,0;;      4042;      2875;
        43;     344,0;;      3717;      2904;
        44;     352,0;;      3953;      2925;
        45;     360,0;;      3750;      2942;
        46;     368,0;;      3997;      2953;
        47;     376,0;;      3786;      2964;
        48;     384,0;;      3834;      2972;
        49;     392,0;;      4072;      2976;
        50;     400,0;;      3971;      2981;
        51;     408,0;;      4289;      2983;
        52;     416,0;;      4148;      2987;
        53;     424,0;;      4052;      2990;
