FICHIER :;f:\Profil_Position_300mm.eposacq
Date :;08/07/2023
Heure :;15:09:44

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en PROFIL de POSITION avec échelon de 88059 qc.
73 mesures avec période de 20.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Position Moteur;Vitesse Moteur;Courant Moteur;Consigne de Position;
;ms;;qc;rpm;mA;qc;
         0;       0,0;;      5871;         0;      1440;      5871;
         1;      20,0;;      5871;         0;      1440;      5871;
         2;      40,0;;      5871;         0;      1440;      5871;
         3;      60,0;;      5871;         0;      1440;      5871;
         4;      80,0;;      5871;         0;      1440;      5871;
         5;     100,0;;      5871;         0;      1440;      5871;
         6;     120,0;;      5871;         0;      1440;      5871;
         7;     140,0;;      5875;         2;      2935;      5887;
         8;     160,0;;      6083;       152;      4581;      6114;
         9;     180,0;;      6580;       433;      4604;      6608;
        10;     200,0;;      7344;       772;      4528;      7368;
        11;     220,0;;      8374;      1138;      4590;      8396;
        12;     240,0;;      9668;      1518;      4306;      9690;
        13;     260,0;;     11227;      1906;      4296;     11251;
        14;     280,0;;     13053;      2302;      3671;     13079;
        15;     300,0;;     15141;      2693;      4932;     15174;
        16;     320,0;;     17493;      3092;      3966;     17535;
        17;     340,0;;     20125;      3495;      4514;     20164;
        18;     360,0;;     23010;      3891;      4193;     23059;
        19;     380,0;;     26175;      4297;      4064;     26221;
        20;     400,0;;     29512;      4628;      3287;     29553;
        21;     420,0;;     32849;      4807;      2462;     32889;
        22;     440,0;;     36179;      4894;      3371;     36224;
        23;     460,0;;     39513;      4947;      2378;     39560;
        24;     480,0;;     42846;      4970;      3262;     42896;
        25;     500,0;;     46183;      4988;      2517;     46231;
        26;     520,0;;     49516;      4992;      3243;     49567;
        27;     540,0;;     52853;      4999;      2586;     52902;
        28;     560,0;;     56187;      5000;      3167;     56238;
        29;     580,0;;     59524;      5002;      2850;     59573;
        30;     600,0;;     62859;      5002;      3028;     62909;
        31;     620,0;;     66195;      5004;      2854;     66244;
        32;     640,0;;     69529;      5003;      2981;     69580;
        33;     660,0;;     72866;      5004;      2884;     72916;
        34;     680,0;;     76095;      4924;      1603;     76131;
        35;     700,0;;     79049;      4689;      1068;     79080;
        36;     720,0;;     81731;      4373;      1192;     81762;
        37;     740,0;;     84147;      4018;      1209;     84177;
        38;     760,0;;     86295;      3641;      1114;     86325;
        39;     780,0;;     88180;      3255;      1171;     88206;
        40;     800,0;;     89795;      2861;      1372;     89821;
        41;     820,0;;     91147;      2466;      1138;     91168;
        42;     840,0;;     92235;      2071;       779;     92249;
        43;     860,0;;     93052;      1668;      1581;     93063;
        44;     880,0;;     93604;      1270;      1306;     93610;
        45;     900,0;;     93887;       869;      1256;     93890;
        46;     920,0;;     93926;       485;      1990;     93930;
        47;     940,0;;     93925;       257;      1940;     93930;
        48;     960,0;;     93925;       136;      2141;     93930;
        49;     980,0;;     93925;        72;      2343;     93930;
        50;    1000,0;;     93925;        38;      2547;     93930;
        51;    1020,0;;     93926;        21;      2645;     93930;
        52;    1040,0;;     93928;        12;      2597;     93930;
        53;    1060,0;;     93929;         7;      2598;     93930;
        54;    1080,0;;     93930;         4;      2538;     93930;
        55;    1100,0;;     93930;         2;      2541;     93930;
        56;    1120,0;;     93930;         1;      2541;     93930;
        57;    1140,0;;     93930;         1;      2541;     93930;
        58;    1160,0;;     93930;         0;      2541;     93930;
        59;    1180,0;;     93930;         0;      2541;     93930;
        60;    1200,0;;     93930;         0;      2541;     93930;
        61;    1220,0;;     93930;         0;      2541;     93930;
        62;    1240,0;;     93930;         0;      2540;     93930;
        63;    1260,0;;     93930;         0;      2541;     93930;
        64;    1280,0;;     93930;         0;      2541;     93930;
        65;    1300,0;;     93930;         0;      2541;     93930;
        66;    1320,0;;     93930;         0;      2541;     93930;
        67;    1340,0;;     93930;         0;      2541;     93930;
        68;    1360,0;;     93930;         0;      2541;     93930;
        69;    1380,0;;     93930;         0;      2541;     93930;
        70;    1400,0;;     93930;         0;      2541;     93930;
        71;    1420,0;;     93930;         0;      2541;     93930;
        72;    1440,0;;     93930;         0;      2541;     93930;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3150;200;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

