FICHIER :;c:\Users\admin\Desktop\V_3500_0m.eposacq
Date :;03/07/2023
Heure :;10:12:55

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3500 rpm.
73 mesures avec période de 20.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Position Moteur;Vitesse Moteur;Courant Moteur;Consigne de Position;
;ms;;qc;rpm;mA;qc;
         0;       0,0;;     17897;         0;      2244;      5871;
         1;      20,0;;     17897;         0;      2243;      5871;
         2;      40,0;;     17897;         0;      2244;      5871;
         3;      60,0;;     17897;         0;      2244;      5871;
         4;      80,0;;     17897;         0;      2243;      5871;
         5;     100,0;;     17897;         0;      2244;      5871;
         6;     120,0;;     17897;         0;      2244;      5871;
         7;     140,0;;     17899;         2;      3198;      5871;
         8;     160,0;;     18300;       300;      7430;      5871;
         9;     180,0;;     19533;      1044;      7435;      5871;
        10;     200,0;;     21547;      1988;      7447;      5871;
        11;     220,0;;     24170;      2908;      3817;      5871;
        12;     240,0;;     26852;      3432;      2568;      5871;
        13;     260,0;;     29491;      3679;      1971;      5871;
        14;     280,0;;     32078;      3772;      1645;      5871;
        15;     300,0;;     34562;      3749;      2115;      5871;
        16;     320,0;;     36943;      3663;      2845;      5871;
        17;     340,0;;     39261;      3575;      3391;      5871;
        18;     360,0;;     41583;      3532;      3327;      5871;
        19;     380,0;;     43957;      3547;      2728;      5871;
        20;     400,0;;     46360;      3575;      2292;      5871;
        21;     420,0;;     48749;      3578;      2294;      5871;
        22;     440,0;;     51087;      3544;      2730;      5871;
        23;     460,0;;     53382;      3495;      3207;      5871;
        24;     480,0;;     55684;      3476;      3199;      5871;
        25;     500,0;;     58029;      3497;      2755;      5871;
        26;     520,0;;     60402;      3526;      2444;      5871;
        27;     540,0;;     62759;      3530;      2521;      5871;
        28;     560,0;;     65080;      3507;      2880;      5871;
        29;     580,0;;     67381;      3481;      3138;      5871;
        30;     600,0;;     69693;      3476;      3071;      5871;
        31;     620,0;;     72034;      3492;      2816;      5871;
        32;     640,0;;     74392;      3514;      2589;      5871;
        33;     660,0;;     76738;      3516;      2690;      5871;
        34;     680,0;;     79066;      3504;      2856;      5871;
        35;     700,0;;     81384;      3491;      2983;      5871;
        36;     720,0;;     83713;      3493;      2858;      5871;
        37;     740,0;;     86057;      3504;      2723;      5871;
        38;     760,0;;     88406;      3513;      2623;      5871;
        39;     780,0;;     90744;      3510;      2727;      5871;
        40;     800,0;;     93070;      3500;      2851;      5871;
        41;     820,0;;     95388;      3489;      2955;      5871;
        42;     840,0;;     97710;      3486;      2951;      5871;
        43;     860,0;;    100044;      3494;      2842;      5871;
        44;     880,0;;    102382;      3500;      2805;      5871;
        45;     900,0;;    104713;      3498;      2880;      5871;
        46;     920,0;;    107037;      3492;      2960;      5871;
        47;     940,0;;    109368;      3495;      2905;      5871;
        48;     960,0;;    111708;      3502;      2817;      5871;
        49;     980,0;;    114055;      3511;      2690;      5871;
        50;    1000,0;;    116397;      3512;      2737;      5871;
        51;    1020,0;;    118730;      3506;      2805;      5871;
        52;    1040,0;;    121059;      3500;      2845;      5871;
        53;    1060,0;;    123393;      3501;      2816;      5871;
        54;    1080,0;;    125731;      3504;      2757;      5871;
        55;    1100,0;;    128053;      3493;      1141;      5871;
        56;    1120,0;;    129733;      3011;     -4773;      5871;
        57;    1140,0;;    130067;      1807;     -1825;      5871;
        58;    1160,0;;    129948;       875;       970;      5871;
        59;    1180,0;;    129849;       394;      1201;      5871;
        60;    1200,0;;    129699;       101;      2155;      5871;
        61;    1220,0;;    129549;       -51;      2516;      5871;
        62;    1240,0;;    129500;       -59;      1735;      5871;
        63;    1260,0;;    129500;       -31;      1415;      5871;
        64;    1280,0;;    129500;       -17;      1411;      5871;
        65;    1300,0;;    129499;       -10;      1430;      5871;
        66;    1320,0;;    129477;       -21;      1696;      5871;
        67;    1340,0;;    129457;       -25;      1690;      5871;
        68;    1360,0;;    129457;       -13;      1544;      5871;
        69;    1380,0;;    129457;        -7;      1545;      5871;
        70;    1400,0;;    129457;        -4;      1545;      5871;
        71;    1420,0;;    129457;        -2;      1546;      5871;
        72;    1440,0;;    129455;        -3;      1562;      5871;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3150;200;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

