Temps (s) -    c : consigne (mm)	 -    c : consigne (mm)	Temps (s) -    x : position chariot (mm)	 -    x : position chariot (mm)	Temps (s) -    e1 : écart 1 (mm)	 -    e1 : écart 1 (mm)	Temps (s) -    e2 : écart 2 (mm)	 -    e2 : écart 2 (mm)	Temps (s) -    e3 : écart 3 (V)	 -    e3 : écart 3 (V)	Temps (s) -    u : tension moteur moyenne (V)	 -    u : tension moteur moyenne (V)	Temps (s) -    i : intensité (A)	 -    i : intensité (A)	Temps (s) -    v : vitesse  chariot  (mm/s)	 -    v : vitesse  chariot  (mm/s)	Temps (s) -    N : vitesse moteur (tr/min)	 -    N : vitesse moteur (tr/min)	Temps (s) -    q : position moteur (°)	 -    q : position moteur (°)	Temps (s) -    f : effort extérieur (N)	 -    f : effort extérieur (N)	Temps (s) -    x2 : x règle magnétique (mm)	 -    x2 : x règle magnétique (mm)	Temps (s) -    s : signal optionnel	 -    s : signal optionnel	Temps (s) -    formule 1	 -    formule 1	Temps (s) -    formule 2	 -    formule 2	Temps (s) - Segment	 - Segment	Temps (s) - xc	 - xc	Temps (s) - x	 - x	Temps (s) - e1	 - e1	Temps (s) - e2	 - e2	Temps (s) - e3	 - e3	Temps (s) - u	 - u	Temps (s) - i	 - i	Temps (s) - v	 - v	Temps (s) - w	 - w	Temps (s) - q	 - q	Temps (s) - f	 - f	Temps (s) - xbis	 - xbis	Temps (s) - s	 - s	Temps (s) - f1	 - f1	Temps (s) - f2	 - f2	Temps (s) - axe horizontal (31)	 - axe horizontal (31)	Temps (s) - axe vertical (32)	 - axe vertical (32)	Temps (s) - Tracé 33	 - Tracé 33	Temps (s) - Tracé 34	 - Tracé 34	Temps (s) - Tracé 35	 - Tracé 35	Temps (s) - Tracé 36	 - Tracé 36	Temps (s) - Tracé 37	 - Tracé 37	Temps (s) - Tracé 38	 - Tracé 38
0	1.668E-5	0	0.9429	0	-0.9429	0	-0.4714	0	-0.003987	0	-2.347	0	-0.3485	0	-0.09558	0	-0.111	0	6.57	0	22.6	0	0.94	0	0	0	-0.07319	0	0	0.19	0.8775	0	200	0	199.2	0	0.838	0	0.419	0	-0.001357	0	2.271	0	0.3017	0	-0.1855	0	-0.2154	0.089	1248	0	22.62	0	199.3	0	0	0	0.06337	0	0																
0.001	0.005522	0.001	0.9429	0.001	-0.9343	0.001	-0.4671	0.001	-0.4714	0.001	-2.352	0.001	-0.3197	0.001	0.2893	0.001	0.336	0.001	6.57	0.001	22.82	0.001	0.94	0.001	0	0.001	-0.06715	0.001	0	0.1643	0.8775	0.001	200	0.001	199.2	0.001	0.8285	0.001	0.4142	0.001	0.4175	0.001	2.3	0.001	0.2912	0.001	-0.3134	0.001	-0.3639	0.09	1243	0.001	22.84	0.001	199.3	0.001	0	0.001	0.06116	0.001	0																
0.002	0.02104	0.002	0.9429	0.002	-0.9163	0.002	-0.4582	0.002	-0.4678	0.002	-2.341	0.002	-0.3423	0.002	-0.3594	0.002	-0.4174	0.002	6.57	0.002	23.16	0.002	0.94	0.002	0	0.002	-0.07189	0.002	0			0.002	200	0.002	199.2	0.002	0.8096	0.002	0.4048	0.002	0.4127	0.002	2.251	0.002	0.2835	0.002	0.1148	0.002	0.1333	0.091	1238	0.002	23.16	0.002	199.3	0.002	0	0.002	0.05954	0.002	0																
0.003	0.04656	0.003	0.9429	0.003	-0.8862	0.003	-0.4431	0.003	-0.4579	0.003	-2.274	0.003	-0.347	0.003	-0.3069	0.003	-0.3564	0.003	6.57	0.003	23.33	0.003	0.94	0.003	0	0.003	-0.07286	0.003	0			0.003	200	0.003	199.2	0.003	0.7812	0.003	0.3906	0.003	0.4042	0.003	2.206	0.003	0.2893	0.003	-0.1796	0.003	-0.2085	0.092	1232	0.003	23.33	0.003	199.3	0.003	0	0.003	0.06074	0.003	0																
0.004	0.0821	0.004	0.9429	0.004	-0.8467	0.004	-0.4234	0.004	-0.4445	0.004	-2.189	0.004	-0.3308	0.004	0.1741	0.004	0.2022	0.004	6.57	0.004	23.41	0.004	0.94	0.004	0	0.004	-0.06948	0.004	0			0.004	199.9	0.004	199.2	0.004	0.7415	0.004	0.3708	0.004	0.3894	0.004	2.037	0.004	0.2803	0.004	-0.1617	0.004	-0.1878	0.093	1227	0.004	23.42	0.004	199.3	0.004	0	0.004	0.05885	0.004	0																
0.005	0.1276	0.005	0.9429	0.005	-0.7979	0.005	-0.3989	0.005	-0.4258	0.005	-2.094	0.005	-0.3067	0.005	0.1177	0.005	0.1367	0.005	6.57	0.005	23.44	0.005	0.94	0.005	0	0.005	-0.06441	0.005	0			0.005	199.9	0.005	199.2	0.005	0.6911	0.005	0.3456	0.005	0.3697	0.005	1.803	0.005	0.2655	0.005	-0.02489	0.005	-0.0289	0.094	1222	0.005	23.46	0.005	199.3	0.005	0	0.005	0.05575	0.005	0																
0.006	0.1832	0.006	0.9429	0.006	-0.7405	0.006	-0.3702	0.006	-0.3998	0.006	-1.944	0.006	-0.3002	0.006	0.07346	0.006	0.08531	0.006	6.57	0.006	23.46	0.006	0.94	0.006	0	0.006	-0.06305	0.006	0			0.006	199.8	0.006	199.2	0.006	0.6325	0.006	0.3163	0.006	0.3441	0.006	1.466	0.006	0.2479	0.006	-0.2304	0.006	-0.2676	0.095	1216	0.006	23.47	0.006	199.3	0.006	0	0.006	0.05206	0.006	0																
0.007	0.2488	0.007	0.9429	0.007	-0.6742	0.007	-0.3371	0.007	-0.372	0.007	-1.757	0.007	-0.2803	0.007	0.2995	0.007	0.3478	0.007	6.57	0.007	23.49	0.007	0.94	0.007	0	0.007	-0.05886	0.007	0			0.007	199.8	0.007	199.2	0.007	0.5636	0.007	0.2818	0.007	0.3142	0.007	1.116	0.007	0.2265	0.007	-0.2763	0.007	-0.3209	0.096	1210	0.007	23.48	0.007	199.3	0.007	0	0.007	0.04757	0.007	0																
0.008	0.3243	0.008	0.9429	0.008	-0.5926	0.008	-0.2963	0.008	-0.3368	0.008	-1.49	0.008	-0.2437	0.008	0.4397	0.008	0.5106	0.008	6.57	0.008	23.5	0.008	0.94	0.008	0	0.008	-0.05118	0.008	0			0.008	199.7	0.008	199.2	0.008	0.4884	0.008	0.2442	0.008	0.2832	0.008	0.9357	0.008	0.1964	0.008	-0.3918	0.008	-0.455	0.097	1205	0.008	23.49	0.008	199.3	0.008	0	0.008	0.04125	0.008	0																
0.009	0.4099	0.009	0.9429	0.009	-0.5081	0.009	-0.254	0.009	-0.2994	0.009	-1.2	0.009	-0.2195	0.009	0.5102	0.009	0.5925	0.009	6.57	0.009	23.5	0.009	0.94	0.009	0	0.009	-0.0461	0.009	0			0.009	199.6	0.009	199.2	0.009	0.3995	0.009	0.1997	0.009	0.2429	0.009	0.7551	0.009	0.1671	0.009	-0.4956	0.009	-0.5755	0.098	1199	0.009	23.5	0.009	199.3	0.009	0	0.009	0.03509	0.009	0																
0.01	0.5055	0.01	0.9429	0.01	-0.4128	0.01	-0.2064	0.01	-0.2568	0.01	-0.9416	0.01	-0.1885	0.01	0.4856	0.01	0.5639	0.01	6.57	0.01	23.49	0.01	0.94	0.01	0	0.01	-0.03959	0.01	0			0.01	199.5	0.01	199.2	0.01	0.3009	0.01	0.1504	0.01	0.1997	0.01	0.611	0.01	0.1348	0.01	-0.59	0.01	-0.6851	0.099	1193	0.01	23.51	0.01	199.3	0.01	0	0.01	0.0283	0.01	0																
0.011	0.6111	0.011	0.9429	0.011	-0.3117	0.011	-0.1559	0.011	-0.2104	0.011	-0.7067	0.011	-0.1516	0.011	0.6157	0.011	0.715	0.011	6.57	0.011	23.49	0.011	0.94	0.011	0	0.011	-0.03184	0.011	0			0.011	199.4	0.011	199.2	0.011	0.1917	0.011	0.09587	0.011	0.1494	0.011	0.447	0.011	0.1076	0.011	-0.6857	0.011	-0.7963	0.1	1187	0.011	23.52	0.011	199.3	0.011	0	0.011	0.0226	0.011	0																
0.012	0.7267	0.012	0.9429	0.012	-0.1926	0.012	-0.0963	0.012	-0.1557	0.012	-0.5283	0.012	-0.1131	0.012	0.528	0.012	0.6131	0.012	6.57	0.012	23.51	0.012	0.94	0.012	0	0.012	-0.02375	0.012	0			0.012	199.3	0.012	199.2	0.012	0.07235	0.012	0.03618	0.012	0.09523	0.012	0.2135	0.012	0.06214	0.012	-0.9603	0.012	-1.115	0.101	1181	0.012	23.51	0.012	199.3	0.012	0	0.012	0.01305	0.012	0																
0.013	0.8524	0.013	0.9454	0.013	-0.06726	0.013	-0.03363	0.013	-0.09729	0.013	-0.2948	0.013	-0.07402	0.013	0.4624	0.013	0.537	0.013	6.588	0.013	23.53	0.013	0.94	0.013	0	0.013	-0.01554	0.013	0			0.013	199.1	0.013	199.2	0.013	-0.05684	0.013	-0.02842	0.013	0.03553	0.013	-0.01252	0.013	0.01658	0.013	-1.098	0.013	-1.276	0.102	1175	0.013	23.51	0.013	199.3	0.013	0	0.013	0.003482	0.013	0																
0.014	0.988	0.014	0.9558	0.014	0.03923	0.014	0.01961	0.014	-0.04342	0.014	-0.00621	0.014	-0.01996	0.014	1.118	0.014	1.298	0.014	6.66	0.014	23.53	0.014	0.94	0.014	0	0.014	-0.004192	0.014	0			0.014	199	0.014	199.2	0.014	-0.196	0.014	-0.09799	0.014	-0.02956	0.014	-0.07257	0.014	-0.007653	0.014	-1.016	0.014	-1.18	0.103	1169	0.014	23.51	0.014	199.3	0.014	0	0.014	-0.001607	0.014	0																
0.015	1.134	0.015	0.9558	0.015	0.1509	0.015	0.07544	0.015	0.003714	0.015	-0.009163	0.015	-0.01826	0.015	1.118	0.015	1.298	0.015	6.66	0.015	23.52	0.015	0.94	0.015	0	0.015	-0.003835	0.015	0			0.015	198.9	0.015	199.2	0.015	-0.3433	0.015	-0.1716	0.015	-0.09812	0.015	-0.308	0.015	-0.0481	0.015	-0.9349	0.015	-1.086	0.104	1163	0.015	23.51	0.015	199.3	0.015	0	0.015	-0.0101	0.015	0																
0.016	1.289	0.016	0.9558	0.016	0.3058	0.016	0.1529	0.016	0.07457	0.016	0.223	0.016	0.02717	0.016	0.8222	0.016	0.9548	0.016	6.66	0.016	23.34	0.016	0.94	0.016	0	0.016	0.005706	0.016	0			0.016	198.7	0.016	199.2	0.016	-0.5011	0.016	-0.2506	0.016	-0.1725	0.016	-0.6214	0.016	-0.1035	0.016	-1.444	0.016	-1.677	0.105	1157	0.016	23.52	0.016	199.3	0.016	0	0.016	-0.02174	0.016	0																
0.017	1.455	0.017	0.9558	0.017	0.4737	0.017	0.2369	0.017	0.1537	0.017	0.4821	0.017	0.0726	0.017	1.291	0.017	1.499	0.017	6.66	0.017	23.03	0.017	0.94	0.017	0	0.017	0.01525	0.017	0			0.017	198.5	0.017	199.2	0.017	-0.6768	0.017	-0.3384	0.017	-0.255	0.017	-0.9914	0.017	-0.1586	0.017	-1.896	0.017	-2.202	0.106	1151	0.017	23.52	0.017	199.3	0.017	0	0.017	-0.0333	0.017	0																
0.018	1.631	0.018	0.9558	0.018	0.6167	0.018	0.3083	0.018	0.2209	0.018	0.7055	0.018	0.1206	0.018	1.989	0.018	2.31	0.018	6.66	0.018	22.98	0.018	0.94	0.018	0	0.018	0.02533	0.018	0			0.018	198.4	0.018	199.2	0.018	-0.8423	0.018	-0.4212	0.018	-0.3352	0.018	-1.51	0.018	-0.2157	0.018	-2.305	0.018	-2.677	0.107	1144	0.018	23.5	0.018	199.3	0.018	0	0.018	-0.0453	0.018	0																
0.019	1.816	0.019	0.9558	0.019	0.7565	0.019	0.3783	0.019	0.2877	0.019	1.042	0.019	0.1728	0.019	2.445	0.019	2.839	0.019	6.66	0.019	23.15	0.019	0.94	0.019	0	0.019	0.03629	0.019	0			0.019	198.2	0.019	199.1	0.019	-1.002	0.019	-0.5009	0.019	-0.4146	0.019	-2.092	0.019	-0.2754	0.019	-2.859	0.019	-3.32	0.108	1138	0.019	23.48	0.019	199.3	0.019	0	0.019	-0.05783	0.019	0																
0.02	2.012	0.02	0.9558	0.02	0.9364	0.02	0.4682	0.02	0.3736	0.02	1.744	0.02	0.2267	0.02	2.855	0.02	3.316	0.02	6.66	0.02	23.31	0.02	0.94	0.02	0	0.02	0.04762	0.02	0			0.02	198	0.02	199.1	0.02	-1.302	0.02	-0.6508	0.02	-0.5505	0.02	-2.512	0.02	-0.3221	0.02	-3.828	0.02	-4.446	0.109	1132	0.02	23.47	0.02	199.3	0.02	0	0.02	-0.06764	0.02	0																
0.021	2.218	0.021	0.9616	0.021	1.142	0.021	0.5711	0.021	0.4735	0.021	2.528	0.021	0.2789	0.021	4.43	0.021	5.144	0.021	6.701	0.021	23.4	0.021	0.9445	0.021	0	0.021	0.05856	0.021	0			0.021	197.8	0.021	199.1	0.021	-1.592	0.021	-0.7962	0.021	-0.6887	0.021	-2.882	0.021	-0.4375	0.021	-5.532	0.021	-6.424	0.11	1126	0.021	23.48	0.021	199.3	0.021	0	0.021	-0.09188	0.021	0																
