FICHIER :;c:\Users\labo_psi\Desktop\Echelon_10deg_I_H_KD_0.eposacq
Date :;03/04/2026
Heure :;14:43:59

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en POSITION avec échelon de 10.0 °.
73 mesures avec période de 10.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en POSITION : Echelon de 10.0 °
 PID Position : KP = 5600 | KI = 4800 | KD = 0
 Réponse :
 Ecart de position : 0.00° (0 qc)
 1er dépassement :  68.7 % à 170.0 ms
 Temps de réponse à 5% : 480.0 ms

MESURES :
Index;Temps;;Consigne de Position;Position Axe;Courant Moteur;Position Axe;
;ms;;qc;qc;mA;qc;
         0;       0,0;;        19;        -2;       141;        -2;
         1;      10,0;;       112;        -2;      3200;        -2;
         2;      20,0;;       205;         1;      4247;         1;
         3;      30,0;;       228;        13;      4288;        13;
         4;      40,0;;       228;        31;      4292;        31;
         5;      50,0;;       228;        53;      4289;        53;
         6;      60,0;;       228;        80;      4297;        80;
         7;      70,0;;       228;       109;      4305;       109;
         8;      80,0;;       228;       141;      4288;       141;
         9;      90,0;;       228;       176;      4296;       176;
        10;     100,0;;       228;       213;      4293;       213;
        11;     110,0;;       228;       253;      3411;       253;
        12;     120,0;;       228;       292;      1645;       292;
        13;     130,0;;       228;       327;       -92;       327;
        14;     140,0;;       228;       355;     -1718;       355;
        15;     150,0;;       228;       374;     -3075;       374;
        16;     160,0;;       228;       384;     -4078;       384;
        17;     170,0;;       228;       386;     -4277;       386;
        18;     180,0;;       228;       383;     -4285;       383;
        19;     190,0;;       228;       370;     -4288;       370;
        20;     200,0;;       228;       353;     -4301;       353;
        21;     210,0;;       228;       331;     -4275;       331;
        22;     220,0;;       228;       305;     -3606;       305;
        23;     230,0;;       228;       277;     -2672;       277;
        24;     240,0;;       228;       249;     -1614;       249;
        25;     250,0;;       228;       222;      -484;       222;
        26;     260,0;;       228;       200;       596;       200;
        27;     270,0;;       228;       182;      1501;       182;
        28;     280,0;;       228;       171;      2223;       171;
        29;     290,0;;       228;       167;      2671;       167;
        30;     300,0;;       228;       166;      2942;       166;
        31;     310,0;;       228;       170;      3045;       170;
        32;     320,0;;       228;       180;      2850;       180;
        33;     330,0;;       228;       193;      2477;       193;
        34;     340,0;;       228;       208;      1965;       208;
        35;     350,0;;       228;       223;      1374;       223;
        36;     360,0;;       228;       238;       739;       238;
        37;     370,0;;       228;       252;        93;       252;
        38;     380,0;;       228;       260;      -408;       260;
        39;     390,0;;       228;       267;      -841;       267;
        40;     400,0;;       228;       270;     -1147;       270;
        41;     410,0;;       228;       271;     -1337;       271;
        42;     420,0;;       228;       271;     -1474;       271;
        43;     430,0;;       228;       269;     -1554;       269;
        44;     440,0;;       228;       264;     -1487;       264;
        45;     450,0;;       228;       257;     -1335;       257;
        46;     460,0;;       228;       250;     -1104;       250;
        47;     470,0;;       228;       242;      -843;       242;
        48;     480,0;;       228;       235;      -571;       235;
        49;     490,0;;       228;       228;      -287;       228;
        50;     500,0;;       228;       224;       -60;       224;
        51;     510,0;;       228;       220;       118;       220;
        52;     520,0;;       228;       219;       244;       219;
        53;     530,0;;       228;       218;       323;       218;
        54;     540,0;;       228;       218;       355;       218;
        55;     550,0;;       228;       218;       384;       218;
        56;     560,0;;       228;       218;       411;       218;
        57;     570,0;;       228;       218;       441;       218;
        58;     580,0;;       228;       218;       470;       218;
        59;     590,0;;       228;       218;       497;       218;
        60;     600,0;;       228;       219;       501;       219;
        61;     610,0;;       228;       221;       476;       221;
        62;     620,0;;       228;       222;       409;       222;
        63;     630,0;;       228;       224;       365;       224;
        64;     640,0;;       228;       225;       318;       225;
        65;     650,0;;       228;       226;       275;       226;
        66;     660,0;;       228;       227;       246;       227;
        67;     670,0;;       228;       227;       233;       227;
        68;     680,0;;       228;       228;       203;       228;
        69;     690,0;;       228;       228;       192;       228;
        70;     700,0;;       228;       228;       191;       228;
        71;     710,0;;       228;       228;       191;       228;
        72;     720,0;;       228;       228;       191;       228;

Paramètre AXE :;MAXPID-E
PID AXE :;KP;KI;KD;KV;KA
Position :;5600;4800;0;0;0
Vitesse :;32700;0;;0;0
Courant :;800;200
Sécurité
Acc. max.:;2147483647;rpm/s
Vit. max.:;68;rpm

