FICHIER :;c:\Users\labo_psi\Desktop\Echelon_BO_2A.eposacq
Date :;31/03/2026
Heure :;13:06:53

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en COURANT (BO) avec consigne de 2000 mA.
256 mesures avec période de 5.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en COURANT (BO) : Consigne de 2000 mA
 PI Courant : KP = 800 | KI = 200
 

MESURES :
Index;Temps;;Consigne de Courant;Entrée Ana. 1;
;ms;;mA;mV;
         0;       0,0;;      2000;        16;
         1;       5,0;;      2000;        73;
         2;      10,0;;      2000;       119;
         3;      15,0;;      2000;        90;
         4;      20,0;;      2000;        89;
         5;      25,0;;      2000;       142;
         6;      30,0;;      2000;       185;
         7;      35,0;;      2000;       207;
         8;      40,0;;      2000;       196;
         9;      45,0;;      2000;       210;
        10;      50,0;;      2000;       236;
        11;      55,0;;      2000;       259;
        12;      60,0;;      2000;       275;
        13;      65,0;;      2000;       271;
        14;      70,0;;      2000;       289;
        15;      75,0;;      2000;       305;
        16;      80,0;;      2000;       323;
        17;      85,0;;      2000;       331;
        18;      90,0;;      2000;       332;
        19;      95,0;;      2000;       337;
        20;     100,0;;      2000;       359;
        21;     105,0;;      2000;       374;
        22;     110,0;;      2000;       383;
        23;     115,0;;      2000;       386;
        24;     120,0;;      2000;       382;
        25;     125,0;;      2000;       389;
        26;     130,0;;      2000;       399;
        27;     135,0;;      2000;       412;
        28;     140,0;;      2000;       426;
        29;     145,0;;      2000;       434;
        30;     150,0;;      2000;       429;
        31;     155,0;;      2000;       426;
        32;     160,0;;      2000;       432;
        33;     165,0;;      2000;       441;
        34;     170,0;;      2000;       449;
        35;     175,0;;      2000;       452;
        36;     180,0;;      2000;       455;
        37;     185,0;;      2000;       461;
        38;     190,0;;      2000;       467;
        39;     195,0;;      2000;       472;
        40;     200,0;;      2000;       469;
        41;     205,0;;      2000;       469;
        42;     210,0;;      2000;       472;
        43;     215,0;;      2000;       479;
        44;     220,0;;      2000;       476;
        45;     225,0;;      2000;       479;
        46;     230,0;;      2000;       490;
        47;     235,0;;      2000;       500;
        48;     240,0;;      2000;       500;
        49;     245,0;;      2000;       504;
        50;     250,0;;      2000;       508;
        51;     255,0;;      2000;       515;
        52;     260,0;;      2000;       519;
        53;     265,0;;      2000;       521;
        54;     270,0;;      2000;       519;
        55;     275,0;;      2000;       517;
        56;     280,0;;      2000;       509;
        57;     285,0;;      2000;       512;
        58;     290,0;;      2000;       519;
        59;     295,0;;      2000;       530;
        60;     300,0;;      2000;       534;
        61;     305,0;;      2000;       529;
        62;     310,0;;      2000;       530;
        63;     315,0;;      2000;       531;
        64;     320,0;;      2000;       526;
        65;     325,0;;      2000;       530;
        66;     330,0;;      2000;       527;
        67;     335,0;;      2000;       528;
        68;     340,0;;      2000;       532;
        69;     345,0;;      2000;       534;
        70;     350,0;;      2000;       538;
        71;     355,0;;      2000;       520;
        72;     360,0;;      2000;       507;
        73;     365,0;;      2000;       512;
        74;     370,0;;      2000;       530;
        75;     375,0;;      2000;       538;
        76;     380,0;;      2000;       540;
        77;     385,0;;      2000;       536;
        78;     390,0;;      2000;       529;
        79;     395,0;;      2000;       511;
        80;     400,0;;      2000;       521;
        81;     405,0;;      2000;       522;
        82;     410,0;;      2000;       522;
        83;     415,0;;      2000;       519;
